district,state,year,rainfall_mm,anomaly,H1_percentile,H2_zscore_pct,H3,H4,H5,H6,H7,Tier1_Hazard
ahmadabad,gujarat,2018,703.5963247,-0.516400745,0.477560071,0.361740792,4.571428571,0.006289308,1,1,0.389785328,0.290234947
ahmadabad,gujarat,2019,1084.08259,6.792025047,0.569074622,0.486770247,8.285714285,0.025641026,1,1,0.722461054,0.343691036
ahmadabad,gujarat,2020,1058.668708,6.301458217,0.533773011,0.426701875,7.142857142,0.019230769,1,1,0.630161101,0.324366951
ahmadabad,gujarat,2021,893.8039051,3.132819572,0.562873932,0.478530757,6.999999999,0.006410256,1,1,0.359657809,0.329568779
ahmadabad,gujarat,2022,1095.891594,7.019121291,0.512491782,0.399400957,6.57142857,0.025641026,1,0.714285714,0.757564301,0.311658296
ahmadabad,gujarat,2023,828.6572167,1.879998641,0.516904997,0.421066001,5.571428571,0.019230769,1,1,0.445153162,0.309652296
ahmadabad,gujarat,2024,1153.990666,7.981605701,0.553043864,0.463286986,7.428571428,0.031446541,1,1,0.823065174,0.337411048
ahmadabad,gujarat,2025,1101.309827,8.660644746,0.653205128,0.547074785,7.428571428,0.015503876,1,0.857142857,0.583723743,0.376918924
ahmadnagar,maharashtra,1980,0,0,0.688675214,0,0,0,0.571428571,0,0,0.167165774
ahmadnagar,maharashtra,1981,557.0417216,-0.318470735,0.470701841,0.447231625,4.714285714,0,1,0.857142857,0.520919411,0.299853888
ahmadnagar,maharashtra,1982,346.3526873,-4.370182933,0.420841552,0.374655929,2.714285714,0,1,0.285714286,0.479579972,0.276004972
ahmadnagar,maharashtra,1983,717.7030164,2.77116955,0.493536325,0.44021072,5.571428571,0.025641026,1,0.857142857,0.658739882,0.313327735
ahmadnagar,maharashtra,1984,485.0136763,-1.671481575,0.47076278,0.394616072,4.142857142,0.006289308,1,0.428571429,0.790451144,0.290614223
ahmadnagar,maharashtra,1985,441.633184,-2.537865688,0.457084155,0.397266962,3.714285714,0.006410256,1,0.714285714,0.6242463,0.291440764
ahmadnagar,maharashtra,1986,388.2983921,-3.563534763,0.45276545,0.388367616,4.142857142,0,1,0.714285714,0.392648643,0.27900155
ahmadnagar,maharashtra,1987,426.0192019,-2.838134575,0.477868179,0.3962208,3.714285714,0,1,0.428571429,0.471799134,0.287983898
ahmadnagar,maharashtra,1988,859.7136835,5.502143917,0.546092209,0.489194316,7.142857142,0.012820513,1,0.857142857,0.707847302,0.328897703
ahmadnagar,maharashtra,1989,548.0217838,-0.491931077,0.492472058,0.431985568,5.428571428,0,1,0.571428571,0.556603316,0.308799904
ahmadnagar,maharashtra,1990,680.0419495,2.008297164,0.500834543,0.444865151,5.285714285,0.012578616,1,1,0.67855594,0.316341019
ahmadnagar,maharashtra,1991,343.662744,-4.421912612,0.443063774,0.39598832,3,0,1,0.571428571,0.434430581,0.280688151
ahmadnagar,maharashtra,1992,473.2029741,-1.93075434,0.446934583,0.386382235,3.571428571,0.012820513,1,0.571428571,0.767596702,0.288353865
ahmadnagar,maharashtra,1993,697.5231751,2.383095679,0.488247863,0.440824468,5.142857142,0.006410256,1,0.857142857,0.793685208,0.306289696
ahmadnagar,maharashtra,1994,440.0983527,-2.567381675,0.456693787,0.408007551,4.142857142,0,1,0.428571429,0.336309863,0.285201663
ahmadnagar,maharashtra,1995,465.3798457,-2.081199117,0.46469428,0.406124461,3.571428571,0.006410256,1,0.571428571,0.947510489,0.289181099
