State,District,Year,Child Homicide Cases,Attempted Child Murder Cases,Child Serious Injury Cases,Child Assault Cases,Child Sexual Exploitation Cases,Child Abduction Cases,Child Kidnapping Cases,Child Rape Cases,Child Sexual Offence Cases,Child Trafficking Cases,Child Aggravated Sexual Abuse Cases,Adultery Cases,Child Cruelty Cases,Child Indecent Acts Cases,Child Sexual Harassment Cases,Child Assault & Injury Cases,Child Exposure to Obscene Content Cases,Child Exploitation & Assault Cases,Child Domestic Violence Exposure Cases,Child Protection & Guardianship Cases,Child Media-Related Offence Cases,Child Education Neglect Cases,Child Verbal Abuse Cases,Vulnerability Score
Southern,Galle,2020,0.0,2.0,1.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,15.0,1.0,1.0,0.0,37.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.22402653550312765
Southern,Galle,2021,1.0,0.0,2.0,0.0,0.0,1.0,20.0,47.0,0.0,0.0,22.0,9.0,0.0,1.0,41.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.27523468841273585
Southern,Galle,2022,1.0,0.0,4.0,0.0,1.0,1.0,14.0,54.0,0.0,1.0,26.0,9.0,2.0,0.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3218475541453946
Southern,Galle,2023,,,3.0,,,,14.0,46.0,,,26.0,3.0,1.0,,28.0,24.0,,,,,1.0,,,0.5492117844779824
Southern,Galle,2024,0.0,0.0,2.0,0.0,0.0,0.0,13.0,30.0,0.0,0.0,12.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.16001715996976343
Western,Gampaha,2020,0.0,0.0,1.0,0.0,0.0,1.0,10.0,34.0,0.0,0.0,8.0,0.0,1.0,0.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581042608252439
Western,Gampaha,2021,0.0,0.0,0.0,0.0,0.0,0.0,14.0,39.0,0.0,1.0,13.0,0.0,1.0,0.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17748800232288553
Western,Gampaha,2022,1.0,1.0,0.0,0.0,0.0,2.0,13.0,35.0,0.0,0.0,7.0,1.0,2.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22468867927925937
Western,Gampaha,2023,1.0,,,,2.0,3.0,16.0,37.0,,,16.0,,,,40.0,11.0,,,,,,,,0.6325601625176598
Western,Gampaha,2024,0.0,0.0,0.0,0.0,1.0,0.0,22.0,26.0,0.0,0.0,9.0,0.0,2.0,0.0,44.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16414663399060983
