State,District,Year,Annual Total Rainfall (mm),Annual Rainfall Anomaly (mm),Extreme Rainfall Days (90th Percentile),Very Heavy Rainfall Days (>50mm),Longest Consecutive Dry Spell (days),Longest Consecutive Wet Spell (days),Maximum Daily Rainfall (mm),Hazard Score
Tripura,Unakoti,2021,1858.524363,-441.7506621,27,0,44,17,49.96351878,0.12823074
Tripura,Unakoti,2022,2397.701885,97.42686039,41,5,61,26,87.41602834,0.530386353
Tripura,Unakoti,2023,2142.32186,-157.9531645,34,5,54,31,87.60908508,0.452291415
Tripura,Unakoti,2024,3007.344893,707.069868,51,4,32,60,132.361866,0.699496492
Tripura,Unakoti,2025,2666.287229,366.0122039,47,7,54,38,141.6493874,0.730370814
Tripura,West Tripura,2010,2599.369608,387.1322426,46,9,48,27,109.4430021,0.441497778
Tripura,West Tripura,2011,2245.591483,33.35411831,39,4,70,21,144.2854109,0.429472548
Tripura,West Tripura,2012,1985.960377,-226.2769883,34,2,78,18,144.7459602,0.374180208
Tripura,West Tripura,2013,2069.907455,-142.3299104,30,7,54,24,100.5573845,0.278472538
Tripura,West Tripura,2014,1907.335279,-304.9020859,34,4,51,23,104.6506462,0.238499965
Tripura,West Tripura,2015,2180.580799,-31.656566,36,4,31,24,77.58328883,0.161935572
Tripura,West Tripura,2016,2347.541287,135.3039222,37,9,49,14,107.392793,0.341622054
Tripura,West Tripura,2017,3321.156248,1108.918883,58,15,53,92,103.8243306,0.799717815
Tripura,West Tripura,2018,2303.073991,90.83662603,36,7,53,17,159.4178212,0.415148082
Tripura,West Tripura,2019,2461.749781,249.512416,46,7,48,13,90.02831904,0.339325547
Tripura,West Tripura,2020,2313.342584,101.1052195,37,6,59,51,96.08897972,0.393994155
Tripura,West Tripura,2021,1684.042148,-528.1952164,26,2,44,29,71.42998759,0.079854565
Tripura,West Tripura,2022,2049.463472,-162.7738928,33,5,62,21,73.79791387,0.242951396
Tripura,West Tripura,2023,1868.716675,-343.5206901,34,4,54,21,110.7329877,0.251320987
Tripura,West Tripura,2024,2165.974114,-46.26325089,27,8,33,39,169.5287348,0.359805758
Tripura,West Tripura,2025,1891.992538,-320.2448265,32,6,61,27,90.19464175,0.271501872
Uttar Pradesh,Agra,2010,599.790434,-70.93722064,34,0,84,19,39.71394386,0.402938439
Uttar Pradesh,Agra,2011,727.2442331,56.51657842,41,0,105,12,36.10065282,0.454531746
Uttar Pradesh,Agra,2012,676.9838458,6.256191109,37,0,99,11,41.34961332,0.396265878
Uttar Pradesh,Agra,2013,842.7763781,172.0487235,43,1,78,9,74.30911458,0.567483129
Uttar Pradesh,Agra,2014,412.0353506,-258.6923041,25,0,59,13,36.54933435,0.151897114
Uttar Pradesh,Agra,2015,527.6297683,-143.0978864,29,0,35,9,26.08444773,0.09774358
Uttar Pradesh,Agra,2016,638.4967987,-32.23085593,33,2,86,12,72.10733058,0.563764431
Uttar Pradesh,Agra,2017,450.4065908,-220.3210639,28,1,98,6,59.83647129,0.322934437
Uttar Pradesh,Agra,2018,832.4173675,161.6897128,38,2,86,21,76.53288574,0.768426607
Uttar Pradesh,Agra,2019,630.8825436,-39.845111,39,0,55,8,36.50659752,0.253826637
Uttar Pradesh,Agra,2020,485.5930806,-185.1345741,33,0,49,17,26.40505009,0.233234855
Uttar Pradesh,Agra,2021,642.3534443,-28.37421039,33,0,102,10,46.68060265,0.363380784
Uttar Pradesh,Agra,2022,757.9631836,87.23552898,38,2,103,16,76.32533964,0.727166476
Uttar Pradesh,Agra,2023,706.0720215,35.34436684,39,0,41,13,45.30893618,0.318556122
Uttar Pradesh,Agra,2024,937.9550224,267.2273678,46,2,109,15,113.008109,0.9125
Uttar Pradesh,Agra,2025,863.0424116,192.3147569,49,0,63,19,34.12734083,0.532522019
Uttar Pradesh,Aligarh,2010,714.852736,54.39526163,43,0,80,26,41.39998137,0.565831336
Uttar Pradesh,Aligarh,2011,860.0414236,199.5839491,37,3,105,8,87.9154892,0.728898275
Uttar Pradesh,Aligarh,2012,642.7308861,-17.72658836,32,0,85,9,48.75238037,0.35825645
Uttar Pradesh,Aligarh,2013,624.5022745,-35.95519991,41,1,79,13,50.05974325,0.473909003
Uttar Pradesh,Aligarh,2014,388.8544478,-271.6030266,21,0,58,6,32.01732963,0.068240989
Uttar Pradesh,Aligarh,2015,555.1475116,-105.3099628,31,0,33,7,44.59921735,0.173356046
Uttar Pradesh,Aligarh,2016,681.6795597,21.22208532,38,2,86,12,62.21149305,0.555084018
Uttar Pradesh,Aligarh,2017,529.9416941,-130.5157803,31,1,78,9,70.26015129,0.391651878
Uttar Pradesh,Aligarh,2018,688.9893184,28.53184398,39,2,97,18,78.65030295,0.680998087
Uttar Pradesh,Aligarh,2019,470.0824211,-190.3750533,34,0,60,7,27.90493001,0.182898351
Uttar Pradesh,Aligarh,2020,467.3048972,-193.1525772,33,0,54,11,32.3357865,0.206123783
Uttar Pradesh,Aligarh,2021,751.4779555,91.02048104,40,2,95,8,54.18772456,0.559859105
Uttar Pradesh,Aligarh,2022,772.8652626,112.4077882,36,4,81,13,91.482208,0.728424664
Uttar Pradesh,Aligarh,2023,754.8169412,94.35946682,41,2,46,15,61.50784235,0.530817641
Uttar Pradesh,Aligarh,2024,819.8179579,159.3604835,41,3,92,12,93.99548759,0.758884827
Uttar Pradesh,Aligarh,2025,844.2143034,183.7568289,47,1,64,10,53.54581436,0.539155265
Uttar Pradesh,Allahabad,2010,585.3336963,-267.1159739,28,0,82,14,38.30700083,0.205889301
Uttar Pradesh,Allahabad,2011,1230.247657,377.7979864,50,4,95,19,96.86772447,0.849163397
Uttar Pradesh,Allahabad,2012,1122.877432,270.4277617,38,6,88,16,82.62281934,0.711311422
Uttar Pradesh,Allahabad,2013,1137.770547,285.3208765,50,3,73,15,100.3355577,0.706504283
Uttar Pradesh,Allahabad,2014,740.6866009,-111.7630692,28,1,60,8,93.31331253,0.273520252
Uttar Pradesh,Allahabad,2015,641.7337113,-210.7159589,29,1,60,7,61.91533021,0.169961112
Uttar Pradesh,Allahabad,2016,905.0740967,52.6244265,41,0,83,11,43.4007289,0.345005654
Uttar Pradesh,Allahabad,2017,640.9623979,-211.4872723,25,2,120,15,74.95432338,0.439178425
Uttar Pradesh,Allahabad,2018,801.2031698,-51.24650039,37,2,99,20,60.58939878,0.540723743
Uttar Pradesh,Allahabad,2019,1163.636919,311.1872488,39,4,87,10,87.87655931,0.605352001
Uttar Pradesh,Allahabad,2020,872.7312475,20.28157733,46,0,54,19,46.74764319,0.415680996
Uttar Pradesh,Allahabad,2021,1140.709124,288.2594536,44,4,128,12,76.91823488,0.725457798
Uttar Pradesh,Allahabad,2022,631.3953207,-221.0543495,31,0,88,16,39.08834626,0.277927554
Uttar Pradesh,Allahabad,2023,535.5352603,-316.9144098,25,0,55,11,29.29852469,0.053534304
Uttar Pradesh,Allahabad,2024,714.4948947,-137.9547754,38,0,83,16,45.763983,0.348931504
Uttar Pradesh,Allahabad,2025,774.8026489,-77.6470213,36,1,87,16,55.04400769,0.408625975
Uttar Pradesh,Ambedkar Nagar,2010,918.110341,18.6303846,35,4,76,13,97.16265117,0.513637409
Uttar Pradesh,Ambedkar Nagar,2011,1129.85759,230.3776336,47,3,96,13,82.09296269,0.629389583
Uttar Pradesh,Ambedkar Nagar,2012,1107.899004,208.4190473,35,6,82,12,129.0592711,0.666502132
Uttar Pradesh,Ambedkar Nagar,2013,1289.79141,390.3114538,41,5,72,13,120.8441412,0.699923571
Uttar Pradesh,Ambedkar Nagar,2014,771.4647517,-128.0152047,29,1,62,7,61.3062244,0.178647482
Uttar Pradesh,Ambedkar Nagar,2015,588.4307589,-311.0491975,26,0,36,9,45.24599065,0.034150415
Uttar Pradesh,Ambedkar Nagar,2016,900.8851264,1.405169998,43,1,106,18,50.09703313,0.538490818
Uttar Pradesh,Ambedkar Nagar,2017,831.2403826,-68.23957378,34,3,85,14,61.84104623,0.429546095
Uttar Pradesh,Ambedkar Nagar,2018,630.72868,-268.7512764,33,1,100,16,56.67266273,0.381701984
Uttar Pradesh,Ambedkar Nagar,2019,1005.091393,105.611437,36,7,68,13,77.10704602,0.555169758
Uttar Pradesh,Ambedkar Nagar,2020,1207.893789,308.4138325,50,2,44,18,88.65657001,0.615595345
Uttar Pradesh,Ambedkar Nagar,2021,1176.384947,276.9049902,53,2,111,11,83.82988909,0.660078077
Uttar Pradesh,Ambedkar Nagar,2022,724.5422342,-174.9377222,29,2,88,18,67.42099063,0.427629904
Uttar Pradesh,Ambedkar Nagar,2023,599.7886258,-299.6913306,27,1,49,11,53.45915805,0.141978957
Uttar Pradesh,Ambedkar Nagar,2024,856.1988265,-43.28112984,32,3,93,10,122.1224827,0.497408401
Uttar Pradesh,Ambedkar Nagar,2025,653.3714424,-246.108514,35,0,75,9,43.26550081,0.187957323
Uttar Pradesh,Amethi,2010,664.6546828,-85.89018609,41,0,77,16,37.75325998,0.41202762
Uttar Pradesh,Amethi,2011,1052.952261,302.407392,39,6,96,19,80.05157607,0.842223517
Uttar Pradesh,Amethi,2012,984.2418647,233.6969958,37,5,103,10,118.3827536,0.77161252
Uttar Pradesh,Amethi,2013,1063.526474,312.9816048,45,5,68,13,66.59834916,0.681850727
Uttar Pradesh,Amethi,2014,555.8534705,-194.6913984,24,1,59,8,62.76683031,0.191007778
Uttar Pradesh,Amethi,2015,434.375735,-316.1691339,24,0,70,5,35.295427,0.07183908
Uttar Pradesh,Amethi,2016,718.1782547,-32.36661423,40,1,82,12,51.09711279,0.440253301
Uttar Pradesh,Amethi,2017,528.6260208,-221.9188482,27,0,100,15,43.7118516,0.34068301
Uttar Pradesh,Amethi,2018,742.297512,-8.24735696,35,0,99,16,43.13042954,0.463122089
Uttar Pradesh,Amethi,2019,915.3226962,164.7778273,42,3,83,18,88.55656815,0.711969493
Uttar Pradesh,Amethi,2020,774.7843094,24.2394405,41,0,45,16,48.20007065,0.37020323
Uttar Pradesh,Amethi,2021,926.3100131,175.7651442,47,2,93,9,94.57172476,0.656992928
Uttar Pradesh,Amethi,2022,697.7527607,-52.79210824,37,1,89,16,88.83223179,0.556530989
Uttar Pradesh,Amethi,2023,608.051191,-142.4936779,38,0,52,11,40.33305808,0.249105791
Uttar Pradesh,Amethi,2024,656.3469382,-94.19793069,31,2,89,10,65.24578074,0.411120654
Uttar Pradesh,Amethi,2025,685.443719,-65.1011499,37,0,100,15,49.96108362,0.467224412
Uttar Pradesh,Amroha,2010,1339.510956,452.8091063,46,5,68,17,78.10913881,0.752311524
Uttar Pradesh,Amroha,2011,1110.825111,224.1232612,52,1,94,13,122.2989259,0.720437178
Uttar Pradesh,Amroha,2012,632.9920313,-253.7098182,31,0,51,21,33.4333121,0.243656667
Uttar Pradesh,Amroha,2013,881.2874623,-5.414387258,42,1,43,6,52.54123497,0.260524262
Uttar Pradesh,Amroha,2014,619.2473404,-267.4545091,22,2,59,4,70.19344997,0.183229025
Uttar Pradesh,Amroha,2015,766.3572752,-120.3445744,33,2,55,8,66.36787669,0.298516994
Uttar Pradesh,Amroha,2016,768.5469218,-118.1549278,30,1,87,8,53.10377383,0.31938506
Uttar Pradesh,Amroha,2017,811.0129003,-75.6889492,31,2,62,11,67.42698479,0.349970496
Uttar Pradesh,Amroha,2018,845.134178,-41.56767155,35,1,80,16,57.33476496,0.430418106
Uttar Pradesh,Amroha,2019,765.3148957,-121.3869539,35,1,59,6,63.43920135,0.262857783
Uttar Pradesh,Amroha,2020,724.3581494,-162.3437002,35,1,99,8,55.74010229,0.377596395
Uttar Pradesh,Amroha,2021,959.2873813,72.58553178,36,3,75,9,78.68885644,0.485596015
Uttar Pradesh,Amroha,2022,904.7842981,18.08244856,38,3,80,6,67.74143569,0.449032686
Uttar Pradesh,Amroha,2023,1181.385519,294.6836692,50,4,75,15,105.585639,0.75736812
Uttar Pradesh,Amroha,2024,897.9010095,11.19915999,35,1,90,12,94.20871671,0.502331166
Uttar Pradesh,Amroha,2025,979.2841641,92.58231459,34,5,84,12,73.25102345,0.591777633
Uttar Pradesh,Auraiya,2010,612.165706,42.22012206,44,0,83,12,42.93173175,0.46950789
Uttar Pradesh,Auraiya,2011,663.5591073,93.61352332,44,2,105,20,53.90357717,0.834495249
Uttar Pradesh,Auraiya,2012,459.1980733,-110.7475106,33,0,104,10,31.33238594,0.353752782
Uttar Pradesh,Auraiya,2013,740.9250819,170.979498,45,0,96,11,46.0858291,0.544908395
Uttar Pradesh,Auraiya,2014,302.1011381,-267.8444459,23,0,58,9,20.02510505,0.076036866
Uttar Pradesh,Auraiya,2015,381.7033623,-188.2422216,29,0,43,12,44.20038647,0.19849565
Uttar Pradesh,Auraiya,2016,369.2310819,-200.7145021,28,0,92,7,30.03816689,0.222928131
Uttar Pradesh,Auraiya,2017,407.8328409,-162.1127431,31,0,98,10,36.81502787,0.323902255
Uttar Pradesh,Auraiya,2018,750.3643534,180.4187694,36,2,97,19,67.45184814,0.80878383
Uttar Pradesh,Auraiya,2019,557.8238887,-12.12169529,40,0,59,8,42.41008033,0.313564316
Uttar Pradesh,Auraiya,2020,462.3439256,-107.6016583,34,0,52,7,34.50430976,0.194227068
Uttar Pradesh,Auraiya,2021,531.8351055,-38.11047844,32,1,75,8,55.65078884,0.414078613
Uttar Pradesh,Auraiya,2022,586.1896732,16.24408922,33,1,105,6,83.00182607,0.565729793
Uttar Pradesh,Auraiya,2023,700.5604852,130.6149013,39,1,50,16,53.51838631,0.532072477
Uttar Pradesh,Auraiya,2024,876.7385632,306.7929793,48,1,85,13,69.32610491,0.743377363
Uttar Pradesh,Auraiya,2025,716.5569566,146.6113727,46,0,87,15,47.09522385,0.570604223
Uttar Pradesh,Azamgarh,2010,840.3870117,-8.13879396,34,1,82,17,54.77057273,0.430950824
Uttar Pradesh,Azamgarh,2011,1115.258984,266.7331786,52,1,96,17,58.15168837,0.654400845
Uttar Pradesh,Azamgarh,2012,935.8146308,87.28882514,32,2,82,11,93.1645625,0.52111579
Uttar Pradesh,Azamgarh,2013,961.7105028,113.1846971,41,3,72,16,91.48536464,0.671166467
Uttar Pradesh,Azamgarh,2014,701.0021606,-147.5236451,31,1,62,11,50.91223492,0.249314336
Uttar Pradesh,Azamgarh,2015,662.461341,-186.0644646,25,2,35,13,59.32604156,0.24281852
Uttar Pradesh,Azamgarh,2016,993.0300176,144.5042119,42,2,82,23,75.35112326,0.697424337
Uttar Pradesh,Azamgarh,2017,795.8844257,-52.64137991,37,1,93,16,58.35947772,0.456970563
Uttar Pradesh,Azamgarh,2018,579.3502416,-269.1755641,28,0,100,21,33.74799974,0.303258145
Uttar Pradesh,Azamgarh,2019,939.0491448,90.52333914,33,3,53,9,93.97955241,0.498062525
Uttar Pradesh,Azamgarh,2020,1048.719559,200.1937533,53,1,43,18,104.0625387,0.646069663
Uttar Pradesh,Azamgarh,2021,1169.77838,321.2525743,50,2,111,18,86.75973461,0.826050627
Uttar Pradesh,Azamgarh,2022,744.3447221,-104.1810835,32,1,88,14,62.51297377,0.38773058
Uttar Pradesh,Azamgarh,2023,627.2029904,-221.3228153,29,0,78,9,36.42662103,0.137964833
Uttar Pradesh,Azamgarh,2024,797.4913839,-51.03442171,30,2,92,15,74.43851914,0.4953275
Uttar Pradesh,Azamgarh,2025,664.9273942,-183.5984114,36,0,99,9,42.92456477,0.251735102
Uttar Pradesh,Baghpat,2010,745.6396349,123.7973504,45,0,87,21,43.06636633,0.587881864
Uttar Pradesh,Baghpat,2011,644.3516786,22.50939406,42,0,82,7,38.25388282,0.360123905
Uttar Pradesh,Baghpat,2012,508.0364116,-113.8058729,28,0,82,6,44.45467411,0.202137948
Uttar Pradesh,Baghpat,2013,735.0507108,113.2084263,44,1,59,11,50.0572646,0.458848203
Uttar Pradesh,Baghpat,2014,414.8861583,-206.9561262,27,0,61,4,42.79756791,0.066755272
Uttar Pradesh,Baghpat,2015,594.9071314,-26.93515315,37,0,56,8,48.23557772,0.251028973
Uttar Pradesh,Baghpat,2016,441.5387679,-180.3035166,28,0,100,6,38.7451285,0.223194678
Uttar Pradesh,Baghpat,2017,498.2224794,-123.6198051,28,1,78,5,54.74618776,0.258853741
Uttar Pradesh,Baghpat,2018,673.910798,52.06851354,42,1,80,11,93.41121592,0.607529665
Uttar Pradesh,Baghpat,2019,482.383889,-139.4583955,29,0,60,8,38.51451717,0.13163708
Uttar Pradesh,Baghpat,2020,552.3445133,-69.49777116,38,0,69,6,41.93585205,0.251023597
Uttar Pradesh,Baghpat,2021,885.7715962,263.9293117,41,3,77,7,72.6704652,0.680110691
Uttar Pradesh,Baghpat,2022,612.6514719,-9.190812587,35,0,80,6,31.64721148,0.256272184
Uttar Pradesh,Baghpat,2023,737.5478534,115.7055689,38,2,50,10,57.84177508,0.446489744
Uttar Pradesh,Baghpat,2024,598.0844825,-23.75780198,36,0,98,7,42.3319664,0.358085759
Uttar Pradesh,Baghpat,2025,824.1489747,202.3066902,47,2,84,11,56.28661878,0.67108237
Uttar Pradesh,Bahraich,2010,887.2783855,-214.9887222,27,3,85,17,71.42167354,0.323898284
Uttar Pradesh,Bahraich,2011,912.5884735,-189.6786342,26,2,98,10,73.2009064,0.249382336
Uttar Pradesh,Bahraich,2012,1005.223719,-97.04338881,31,5,104,7,94.47786951,0.384079571
Uttar Pradesh,Bahraich,2013,1251.747249,149.4801416,48,2,51,11,86.31833267,0.314124447
Uttar Pradesh,Bahraich,2014,1220.518868,118.2517598,39,3,58,8,195.9380021,0.406420273
Uttar Pradesh,Bahraich,2015,819.6012342,-282.6658735,30,1,76,10,59.80078554,0.137911224
Uttar Pradesh,Bahraich,2016,1201.103598,98.83648994,40,3,82,13,77.31787813,0.402027198
Uttar Pradesh,Bahraich,2017,987.2381011,-115.0290066,37,2,90,16,69.56673205,0.369194903
Uttar Pradesh,Bahraich,2018,1205.759387,103.4922791,40,4,96,20,104.714128,0.598061983
Uttar Pradesh,Bahraich,2019,1251.336967,149.0698593,36,7,59,9,97.57270002,0.403724194
Uttar Pradesh,Bahraich,2020,1168.627466,66.36035831,40,1,51,16,90.0379591,0.296406973
Uttar Pradesh,Bahraich,2021,1637.901096,535.6339879,58,6,75,14,117.6634898,0.708276215
Uttar Pradesh,Bahraich,2022,1270.470744,168.2036367,38,6,83,11,150.5602098,0.556243089
Uttar Pradesh,Bahraich,2023,912.1402895,-190.1268183,28,2,52,11,68.44451746,0.122051111
Uttar Pradesh,Bahraich,2024,997.8710293,-104.3960784,35,5,93,12,95.58088732,0.434277094
Uttar Pradesh,Bahraich,2025,906.8671172,-195.3999905,32,2,99,11,72.16794962,0.294167607
Uttar Pradesh,Ballia,2010,661.4341902,-202.7992517,27,1,77,10,52.0337383,0.162715397
Uttar Pradesh,Ballia,2011,1078.094115,213.8606733,50,2,95,17,77.82521009,0.565298163
Uttar Pradesh,Ballia,2012,775.5598039,-88.673638,28,2,83,10,136.5132786,0.376460646
Uttar Pradesh,Ballia,2013,853.4433803,-10.79006159,39,1,71,20,61.25691191,0.374020657
Uttar Pradesh,Ballia,2014,768.8545746,-95.37886729,33,0,65,8,47.7617658,0.128314497
Uttar Pradesh,Ballia,2015,665.148355,-199.0850868,28,0,62,7,49.58530045,0.064167545
Uttar Pradesh,Ballia,2016,917.0430927,52.80965088,42,0,104,22,38.15915545,0.456918869
Uttar Pradesh,Ballia,2017,771.1184717,-93.11497019,36,1,80,20,50.28884331,0.348480369
Uttar Pradesh,Ballia,2018,600.4029298,-263.830512,29,1,100,19,58.92903074,0.337497076
Uttar Pradesh,Ballia,2019,1191.063886,326.8304438,35,7,53,13,98.31328392,0.502412747
Uttar Pradesh,Ballia,2020,1300.800039,436.566597,60,2,84,19,74.91532962,0.649272293
Uttar Pradesh,Ballia,2021,1377.133962,512.9005206,58,3,111,14,81.23924351,0.712107003
Uttar Pradesh,Ballia,2022,675.4182307,-188.8152112,32,0,88,12,44.51478402,0.208249138
Uttar Pradesh,Ballia,2023,657.9811229,-206.252319,27,1,56,8,53.43442732,0.081780955
Uttar Pradesh,Ballia,2024,655.7944964,-208.4389454,27,0,64,16,43.48217297,0.152514969
Uttar Pradesh,Ballia,2025,878.4444196,14.21097769,34,1,99,11,105.4041112,0.409402433
Uttar Pradesh,Balrampur,2010,945.9180748,-59.29206942,32,2,83,16,53.18752978,0.355683979
Uttar Pradesh,Balrampur,2011,679.3810841,-325.82906,30,0,71,11,38.45439295,0.148165232
Uttar Pradesh,Balrampur,2012,1108.934737,103.7245925,41,2,82,12,110.0819966,0.46308511
Uttar Pradesh,Balrampur,2013,1079.620771,74.41062732,36,4,76,8,92.22073306,0.380977078
Uttar Pradesh,Balrampur,2014,840.7227766,-164.4873675,25,4,70,7,73.91471364,0.228727911
Uttar Pradesh,Balrampur,2015,571.9470049,-433.2631393,24,1,76,7,56.01235698,0.10493132
Uttar Pradesh,Balrampur,2016,744.6385749,-260.5715692,31,0,125,9,49.92499131,0.275529888
Uttar Pradesh,Balrampur,2017,755.7797506,-249.4303936,28,2,90,12,98.41704354,0.335656328
Uttar Pradesh,Balrampur,2018,810.6978785,-194.5122657,42,1,94,15,60.62204024,0.391925064
Uttar Pradesh,Balrampur,2019,1159.053042,153.8428983,36,5,73,9,88.41764039,0.414745963
Uttar Pradesh,Balrampur,2020,1575.074725,569.8645812,54,8,50,15,111.5378682,0.703093709
Uttar Pradesh,Balrampur,2021,1632.510194,627.3000497,50,7,69,12,108.9868058,0.669000614
Uttar Pradesh,Balrampur,2022,1149.775299,144.565155,43,5,88,11,121.2242766,0.560329902
Uttar Pradesh,Balrampur,2023,831.0078165,-174.2023277,29,1,80,9,149.6361609,0.348296672
Uttar Pradesh,Balrampur,2024,1309.500307,304.2901629,48,6,79,20,129.433646,0.741732515
Uttar Pradesh,Balrampur,2025,888.8002696,-116.4098746,36,3,99,18,66.73628029,0.471270308
Uttar Pradesh,Banda,2010,617.155337,-231.9412751,29,0,94,11,36.62102625,0.159417829
Uttar Pradesh,Banda,2011,965.8296801,116.7330681,45,2,96,15,66.98519463,0.525045283
Uttar Pradesh,Banda,2012,873.3675016,24.27088953,41,2,88,17,61.64167786,0.474870561
Uttar Pradesh,Banda,2013,1326.78,477.6833882,49,5,80,12,102.053345,0.737975776
Uttar Pradesh,Banda,2014,606.6638924,-242.4327197,24,1,59,10,55.38457235,0.116016937
Uttar Pradesh,Banda,2015,571.2905892,-277.8060228,25,0,47,9,47.88080798,0.030337632
Uttar Pradesh,Banda,2016,922.5672562,73.47064414,33,2,83,11,79.53707637,0.388779315
Uttar Pradesh,Banda,2017,601.4344083,-247.6622038,26,1,132,9,76.64799727,0.304130303
Uttar Pradesh,Banda,2018,803.1384406,-45.95817145,33,2,99,18,54.19027551,0.423852787
Uttar Pradesh,Banda,2019,939.0751195,89.97850748,37,3,69,13,77.23681355,0.443943872
Uttar Pradesh,Banda,2020,911.0209949,61.92438281,49,0,51,18,49.17889961,0.382999641
Uttar Pradesh,Banda,2021,1031.386786,182.2901744,43,2,72,9,55.33713341,0.383199719
Uttar Pradesh,Banda,2022,995.3134656,146.2168536,44,1,108,12,58.34286096,0.461196341
Uttar Pradesh,Banda,2023,629.2605026,-219.8361094,29,0,52,12,48.80092625,0.117245432
Uttar Pradesh,Banda,2024,797.086622,-52.0099901,39,2,106,23,80.13101032,0.590301124
Uttar Pradesh,Banda,2025,994.1751962,145.0785842,39,3,60,10,115.9008653,0.497353161
Uttar Pradesh,Barabanki,2010,760.648559,-176.5823942,29,2,82,14,53.89323102,0.328905246
Uttar Pradesh,Barabanki,2011,1050.418955,113.1880018,35,3,88,18,72.08812046,0.56030975
Uttar Pradesh,Barabanki,2012,989.4358511,52.2048979,38,2,103,14,61.50092864,0.509364646
Uttar Pradesh,Barabanki,2013,1064.513731,127.2827778,46,2,80,8,64.49614996,0.436361803
Uttar Pradesh,Barabanki,2014,813.3457598,-123.8851934,24,2,89,8,198.2712018,0.416849639
Uttar Pradesh,Barabanki,2015,588.3912203,-348.8397329,27,1,46,10,54.31537634,0.085699749
Uttar Pradesh,Barabanki,2016,916.4888428,-20.7421104,39,1,82,21,56.69759977,0.487511933
Uttar Pradesh,Barabanki,2017,726.1320303,-211.0989229,29,1,99,14,53.77610287,0.335533602
Uttar Pradesh,Barabanki,2018,990.0832375,52.85228433,40,3,99,17,67.0630385,0.587942276
Uttar Pradesh,Barabanki,2019,1212.05744,274.826487,46,5,70,17,69.23801565,0.66574073
Uttar Pradesh,Barabanki,2020,1126.23601,189.0050566,42,2,45,15,86.3602227,0.441785377
Uttar Pradesh,Barabanki,2021,1245.236623,308.0056693,52,3,75,9,116.3793893,0.607626316
Uttar Pradesh,Barabanki,2022,961.2125367,23.98158351,34,2,88,16,122.2827342,0.528771163
Uttar Pradesh,Barabanki,2023,942.1976511,4.966697884,38,4,50,19,77.42833573,0.493625796
Uttar Pradesh,Barabanki,2024,767.7410306,-169.4899226,32,0,93,16,48.94437373,0.333622054
Uttar Pradesh,Barabanki,2025,841.5557735,-95.67517966,34,3,99,12,73.84060475,0.458002935
Uttar Pradesh,Bareilly,2010,1335.91591,272.9654583,50,5,72,20,82.10031455,0.674452499
Uttar Pradesh,Bareilly,2011,1439.462042,376.5115904,44,6,97,8,150.7204304,0.729803631
Uttar Pradesh,Bareilly,2012,891.3495133,-171.6009383,32,3,83,15,83.27456324,0.384280604
Uttar Pradesh,Bareilly,2013,1218.090759,155.1403069,40,3,79,15,80.97786972,0.490037474
Uttar Pradesh,Bareilly,2014,676.6181357,-386.332316,24,1,59,14,54.2620729,0.091485507
Uttar Pradesh,Bareilly,2015,809.8827496,-253.0677021,26,1,55,9,73.25534752,0.086851081
Uttar Pradesh,Bareilly,2016,1072.526303,9.575851362,36,2,86,16,57.38139582,0.410185177
Uttar Pradesh,Bareilly,2017,974.8195882,-88.1308634,36,2,82,16,57.44421872,0.374411563
Uttar Pradesh,Bareilly,2018,1260.810086,197.859634,48,1,57,19,58.95146915,0.422742569
Uttar Pradesh,Bareilly,2019,979.0419926,-83.90845901,36,1,56,10,61.38186053,0.189445319
Uttar Pradesh,Bareilly,2020,983.2617756,-79.68867603,39,1,51,16,67.95100168,0.26090129
Uttar Pradesh,Bareilly,2021,1170.506086,107.5556347,34,1,75,12,212.4966188,0.467297402
Uttar Pradesh,Bareilly,2022,1047.167127,-15.78332456,35,3,80,24,84.93317168,0.522181942
Uttar Pradesh,Bareilly,2023,1063.593256,0.642803921,41,1,75,18,55.36155728,0.385802215
Uttar Pradesh,Bareilly,2024,1071.680902,8.730450139,30,5,89,15,145.8701353,0.565196027
Uttar Pradesh,Bareilly,2025,1012.481001,-50.46945029,34,3,84,15,68.49143056,0.411618289
Uttar Pradesh,Basti,2010,1130.861868,106.7512215,39,3,76,14,125.1341566,0.501065161
Uttar Pradesh,Basti,2011,1045.945906,21.83525996,41,2,95,13,79.15237522,0.44063415
Uttar Pradesh,Basti,2012,1143.960463,119.849816,30,6,82,12,141.324205,0.567853883
Uttar Pradesh,Basti,2013,1274.934727,250.8240806,37,5,76,16,159.7557484,0.638245382
Uttar Pradesh,Basti,2014,862.0244247,-162.0862219,30,3,62,7,77.55621376,0.254377406
Uttar Pradesh,Basti,2015,633.9601802,-390.1504663,26,1,62,9,53.26461172,0.113097425
Uttar Pradesh,Basti,2016,996.6404424,-27.47020416,42,1,83,10,68.50634346,0.34292199
Uttar Pradesh,Basti,2017,936.998988,-87.11165852,31,3,81,14,73.59845018,0.362038328
Uttar Pradesh,Basti,2018,693.9605633,-330.1500832,31,0,94,15,48.68446004,0.23445146
Uttar Pradesh,Basti,2019,1149.631715,125.5210687,38,5,68,10,113.6850876,0.492221907
Uttar Pradesh,Basti,2020,1479.257876,455.147229,57,3,44,32,98.64169807,0.658995877
