Country,state,district,year,pop_density
India,Gujarat,Navsari,2005,609.89
India,Gujarat,PanchMahals,2005,498.85
India,Gujarat,Patan,2005,237.93
India,Gujarat,Porbandar,2005,256.17
India,Gujarat,Rajkot,2005,363.29
India,Gujarat,SabarKantha,2005,309.11
India,Gujarat,Surat,2005,1148.71
India,Gujarat,Surendranagar,2005,162.74
India,Gujarat,Tapi,2005,262.01
India,Gujarat,TheDangs,2005,129.64
India,Gujarat,Vadodara,2005,718.02
India,Gujarat,Valsad,2005,535.54
India,Haryana,Ambala,2005,693.46
India,Haryana,Bhiwani,2005,336.61
India,Haryana,Faridabad,2005,1604.78
India,Haryana,Fatehabad,2005,352.91
India,Haryana,Gurgaon,2005,912.24
India,Haryana,Hisar,2005,413.49
India,Haryana,Jhajjar,2005,479.71
India,Haryana,Jind,2005,471.62
India,Haryana,Kaithal,2005,470.03
India,Haryana,Karnal,2005,553.85
India,Haryana,Kurukshetra,2005,523.93
India,Haryana,Mahendragarh,2005,452.26
India,Haryana,Mewat,2005,555.32
India,Haryana,Palwal,2005,803.76
India,Haryana,Panchkula,2005,632.99
India,Haryana,Panipat,2005,882.04
India,Haryana,Rewari,2005,544.29
India,Haryana,Rohtak,2005,629.98
India,Haryana,Sirsa,2005,293.28
India,Haryana,Sonipat,2005,668.49
India,Haryana,Yamunanagar,2005,780.42
India,HimachalPradesh,Bilaspur,2005,1659.22
India,HimachalPradesh,Bilaspur,2005,332.27
India,HimachalPradesh,Chamba,2005,77
India,HimachalPradesh,Hamirpur,2005,405.46
India,HimachalPradesh,Hamirpur,2005,1213.97
India,HimachalPradesh,Kangra,2005,256.23
India,HimachalPradesh,Kinnaur,2005,13.43
India,HimachalPradesh,Kinnaur,2005,0.01
India,HimachalPradesh,Kinnaur,2005,0
India,HimachalPradesh,Kinnaur,2005,734.62
India,HimachalPradesh,Kinnaur,2005,0.4
India,HimachalPradesh,Kinnaur,2005,0.12
India,HimachalPradesh,Kinnaur,2005,835.42
India,HimachalPradesh,Kinnaur,2005,0.46
India,HimachalPradesh,Kinnaur,2005,0.13
India,HimachalPradesh,Kullu,2005,73.98
India,HimachalPradesh,Lahul&Spiti,2005,2.52
India,HimachalPradesh,Lahul&Spiti,2005,0.01
India,HimachalPradesh,Lahul&Spiti,2005,178.06
India,HimachalPradesh,Lahul&Spiti,2005,0.36
India,HimachalPradesh,Mandi,2005,254.95
India,HimachalPradesh,Shimla,2005,156.3
India,HimachalPradesh,Sirmaur,2005,167.69
India,HimachalPradesh,Solan,2005,309.58
India,HimachalPradesh,Una,2005,301.31
India,JammuandKashmir,Anantnag,2005,299.16
India,JammuandKashmir,Badgam,2005,560.36
India,JammuandKashmir,Bandipore,2005,67.15
India,JammuandKashmir,Baramulla,2005,444.75
India,JammuandKashmir,Doda,2005,175.64
India,JammuandKashmir,Ganderbal,2005,222.74
India,JammuandKashmir,Jammu,2005,678.42
India,JammuandKashmir,Kargil,2005,9.04
India,JammuandKashmir,Kathua,2005,206.44
India,JammuandKashmir,Kishtwar,2005,22.28
India,JammuandKashmir,Kulgam,2005,404.06
India,JammuandKashmir,Kupwara,2005,264
India,JammuandKashmir,Leh(Ladakh),2005,2.71
India,JammuandKashmir,Poonch,2005,289.32
India,JammuandKashmir,Pulwama,2005,713.92
India,JammuandKashmir,Rajouri,2005,175.43
India,JammuandKashmir,Ramban,2005,228.56
India,JammuandKashmir,Reasi,2005,128.63
India,JammuandKashmir,Samba,2005,425.22
India,JammuandKashmir,Shupiyan,2005,598.11
India,JammuandKashmir,Srinagar,2005,1659.42
India,JammuandKashmir,Udhampur,2005,230.9
India,Jharkhand,Bokaro,2005,687.01
India,Jharkhand,Chatra,2005,251.99
India,Jharkhand,Deoghar,2005,545.87
