District,Year,Annual Total Rainfall (mm),Annual Rainfall Anomaly (mm),Extreme Rainfall Days (90th Percentile),Very Heavy Rainfall Days (>50mm),Longest Consecutive Dry Spell (days),Longest Consecutive Wet Spell (days),Maximum Daily Rainfall (mm),Rainfall Hazard Index (Tier-1),State
Kandy,2022,2399.715005,75.7809481,31,4,16,24,72.38225555,0.547069505,Central
Kandy,2023,2974.986524,651.0524673,54,2,9,67,61.19448853,0.63108605,Central
Kandy,2024,2110.264215,-213.6698415,26,5,20,22,78.42771912,0.580841146,Central
Kandy,2025,2810.164514,486.2304572,44,5,14,28,92.00748444,0.687868439,Central
Kandy,2026,104.1628658,-2219.771191,1,0,20,3,32.56980133,0.076388889,Central
Kegalle,2010,3345.71424,716.887367,56,6,16,24,63.085495,0.681006785,Sabaragamuwa
Kegalle,2011,2641.888186,13.06131329,37,2,12,31,52.85237503,0.440063415,Sabaragamuwa
Kegalle,2012,2565.146954,-63.67991886,36,3,25,39,61.46781158,0.583419612,Sabaragamuwa
Kegalle,2013,2645.829362,17.0024891,28,2,19,20,88.12409973,0.526694411,Sabaragamuwa
Kegalle,2014,3100.757553,471.93068,47,0,34,43,49.86187363,0.597644997,Sabaragamuwa
Kegalle,2015,2767.936691,139.1098184,31,0,16,78,37.14849854,0.446082765,Sabaragamuwa
Kegalle,2016,2061.840747,-566.986126,21,6,14,22,81.55839539,0.54277977,Sabaragamuwa
Kegalle,2017,2764.288684,135.4618115,38,1,21,25,57.93630981,0.482806987,Sabaragamuwa
Kegalle,2018,2853.421959,224.5950868,33,0,11,51,45.78564072,0.395121767,Sabaragamuwa
Kegalle,2019,2785.03814,156.211267,38,0,16,34,43.85617065,0.40448429,Sabaragamuwa
Kegalle,2020,2235.703845,-393.1230272,19,1,17,33,53.28921127,0.377000342,Sabaragamuwa
Kegalle,2021,3160.059865,531.2329922,44,5,14,23,66.60958099,0.601987592,Sabaragamuwa
Kegalle,2022,2715.4278,86.60092733,33,2,21,24,57.96356964,0.491584306,Sabaragamuwa
Kegalle,2023,3493.113407,864.2865347,54,3,9,96,60.79672241,0.677041076,Sabaragamuwa
Kegalle,2024,2404.268408,-224.5584644,30,2,17,27,65.68501282,0.465233703,Sabaragamuwa
Kegalle,2025,3085.697933,456.87106,43,4,14,25,80.52265167,0.605357403,Sabaragamuwa
Kegalle,2026,63.92306154,-2564.903811,0,0,17,4,20.15218735,0.053333333,Sabaragamuwa
Kilinochchi,2010,1447.83376,256.7305272,40,4,92,23,75.84842936,0.705496934,Northern
Kilinochchi,2011,1638.631498,447.5282656,52,5,98,16,80.05144246,0.756923809,Northern
Kilinochchi,2012,1312.331469,121.2282363,40,5,93,14,167.8036499,0.770686299,Northern
Kilinochchi,2013,870.1419413,-320.9612911,29,1,82,9,58.78274536,0.391042735,Northern
Kilinochchi,2014,1341.694808,150.5915754,42,3,80,13,51.80955505,0.548622512,Northern
Kilinochchi,2015,1550.103418,359.0001851,43,5,78,17,77.20759074,0.679798064,Northern
Kilinochchi,2016,628.5454244,-562.557808,17,1,99,9,55.06498718,0.35518295,Northern
Kilinochchi,2017,1029.606822,-161.4964107,27,3,81,20,58.57326762,0.526552363,Northern
Kilinochchi,2018,1051.261173,-139.8420591,32,1,90,15,51.66006978,0.471262474,Northern
Kilinochchi,2019,1078.032767,-113.0704656,29,3,77,12,66.20802816,0.482124954,Northern
Kilinochchi,2020,1122.892835,-68.21039757,29,3,63,10,93.94819132,0.47959694,Northern
Kilinochchi,2021,1620.56465,429.4614173,44,6,68,27,84.08159892,0.775323781,Northern
Kilinochchi,2022,1204.373116,13.26988316,44,1,85,10,63.08960978,0.496042155,Northern
Kilinochchi,2023,1589.231686,398.1284537,41,7,93,22,85.3522644,0.802613087,Northern
Kilinochchi,2024,1265.578002,74.47476943,39,4,72,17,74.31254069,0.595912286,Northern
Kilinochchi,2025,1406.651746,215.5485134,38,4,71,11,146.4726766,0.655726981,Northern
Kilinochchi,2026,91.27983793,-1099.823394,2,0,18,4,39.16043599,0,Northern
Kurunegala,2010,2048.24537,383.9826514,47,1,16,19,50.39055525,0.5764541,North Western
Kurunegala,2011,1868.542656,204.279937,40,0,13,28,46.33845738,0.452477446,North Western
Kurunegala,2012,1756.759245,92.49652607,45,2,26,39,62.88914272,0.798049998,North Western
Kurunegala,2013,1491.276474,-172.9862449,24,0,21,15,48.9233878,0.389250382,North Western
Kurunegala,2014,2122.907507,458.6447886,51,1,38,25,54.95828247,0.775130884,North Western
Kurunegala,2015,1930.703139,266.4404206,46,0,21,45,39.52593994,0.564476035,North Western
Kurunegala,2016,1271.27242,-392.9902987,23,2,14,19,70.08981759,0.564580666,North Western
Kurunegala,2017,1710.117047,45.85432849,35,0,21,20,40.57822527,0.433805432,North Western
Kurunegala,2018,1693.575848,29.31312906,31,0,17,55,32.89862932,0.481882922,North Western
Kurunegala,2019,1624.243231,-40.0194878,28,0,18,35,37.11248343,0.421701911,North Western
Kurunegala,2020,1484.070362,-180.1923565,20,0,13,32,43.59632656,0.36077573,North Western
Kurunegala,2021,1968.350061,304.0873421,48,2,17,23,54.29730661,0.687830359,North Western
Kurunegala,2022,1566.634828,-97.6278911,26,0,16,23,42.34628732,0.374432347,North Western
Kurunegala,2023,2082.678868,418.416149,44,1,13,52,62.98017229,0.692948599,North Western
Kurunegala,2024,1639.483518,-24.77920031,35,1,20,22,53.37715803,0.549584527,North Western
Kurunegala,2025,1981.852026,317.5893077,45,2,25,25,68.18243408,0.780500294,North Western
Kurunegala,2026,51.75361806,-1612.509101,0,0,18,3,14.51875305,0.033333333,North Western
Mannar,2010,1573.970186,288.5288897,48,2,36,15,60.76935959,0.531709342,Northern
Mannar,2011,1797.016541,511.5752451,51,4,39,30,65.49918365,0.741819776,Northern
Mannar,2012,1480.906453,195.4651571,46,4,63,27,134.4761658,0.873009097,Northern
Mannar,2013,1036.071493,-249.3698033,28,0,36,9,43.52277374,0.288648269,Northern
Mannar,2014,1585.938572,300.4972756,42,2,36,17,61.14445877,0.527346254,Northern
Mannar,2015,1582.115902,296.6746061,52,2,53,21,61.80015564,0.653511523,Northern
Mannar,2016,753.9208766,-531.5204197,18,0,57,15,48.4705658,0.356986967,Northern
Mannar,2017,1155.555921,-129.8853753,29,0,24,22,47.9200592,0.355281266,Northern
Mannar,2018,1169.874173,-115.567123,24,0,48,30,46.30014801,0.483920033,Northern
Mannar,2019,1274.522141,-10.91915526,34,3,37,16,54.16363525,0.484184331,Northern
Mannar,2020,1211.833837,-73.60745948,26,2,37,11,83.53159332,0.435094253,Northern
Mannar,2021,1633.463124,348.0218273,41,2,27,16,58.16875458,0.482902659,Northern
Mannar,2022,1250.965718,-34.47557796,35,0,47,23,41.65699768,0.468742332,Northern
Mannar,2023,1675.909372,390.4680758,46,6,31,22,68.68789673,0.688136291,Northern
Mannar,2024,1204.574658,-80.8666385,32,2,31,15,62.5160141,0.426420624,Northern
Mannar,2025,1390.465706,105.0244099,34,2,56,19,126.6334686,0.674304355,Northern
Mannar,2026,75.39736241,-1210.043934,2,0,19,6,28.40562057,0,Northern
Matale,2010,2189.591886,352.2113306,41,3,22,20,65.21509552,0.557684588,Central
Matale,2011,2344.183704,506.8031488,52,2,26,25,63.29882813,0.622942452,Central
Matale,2012,2078.975731,241.5951754,42,7,16,18,117.203125,0.701436157,Central
Matale,2013,1757.648252,-79.732303,29,3,20,10,85.43732452,0.475955912,Central
Matale,2014,2475.858036,638.4774806,54,6,34,30,85.36791992,0.853146557,Central
Matale,2015,2022.788656,185.4081009,41,1,22,44,59.49665451,0.584639032,Central
Matale,2016,1353.295766,-484.0847889,18,3,12,22,90.48287201,0.416950875,Central
Matale,2017,1823.836428,-13.54412672,31,1,21,21,51.34477234,0.423279944,Central
Matale,2018,1735.171922,-102.2086334,26,0,10,29,37.80464935,0.30715542,Central
Matale,2019,1809.432793,-27.94776222,30,2,17,18,57.73023224,0.415668934,Central
Matale,2020,1664.572037,-172.8085182,28,1,13,17,61.46685791,0.351115408,Central
Matale,2021,2007.658487,170.277932,41,2,17,23,52.48206711,0.473410808,Central
Matale,2022,1776.971652,-60.40890283,29,4,16,15,64.98418427,0.453158206,Central
Matale,2023,2223.901469,386.5209137,55,1,11,39,52.04299545,0.530434938,Central
Matale,2024,1753.743312,-83.63724261,32,4,20,22,71.28919983,0.529512992,Central
Matale,2025,2125.716385,288.3358304,38,3,25,24,75.46216583,0.601346215,Central
Matale,2026,92.12292057,-1745.257635,1,0,19,3,33.04569626,0.0625,Central
Matara,2010,3704.916259,604.1030623,53,9,23,36,87.74204102,0.659646276,Southern
Matara,2011,3017.414574,-83.39862358,33,2,13,30,90.44017944,0.409212777,Southern
Matara,2012,3022.797677,-78.01551989,37,5,11,36,87.97786865,0.437864503,Southern
Matara,2013,3046.448818,-54.36437919,34,5,15,30,74.85760498,0.44043207,Southern
Matara,2014,3142.767296,41.95409933,37,5,20,23,71.6635437,0.482639245,Southern
Matara,2015,3432.967468,332.1542707,38,5,17,36,63.37341309,0.479666421,Southern
Matara,2016,2470.621566,-630.1916314,22,7,14,25,105.1320435,0.430985823,Southern
Matara,2017,3016.198969,-84.61422817,27,7,19,26,148.4729492,0.573364853,Southern
Matara,2018,3251.952138,151.1389407,31,2,9,41,56.88305054,0.348110794,Southern
Matara,2019,3859.234569,758.4213722,48,8,16,40,123.3779541,0.630237913,Southern
Matara,2020,2688.634836,-412.1783614,23,3,12,43,58.54475098,0.353181858,Southern
Matara,2021,3522.938664,422.1254673,38,6,10,18,70.0918335,0.398298935,Southern
Matara,2022,3223.021182,122.2079848,30,6,10,27,88.77702026,0.410211794,Southern
Matara,2023,4937.041985,1836.228788,65,17,12,90,98.61782227,0.823663765,Southern
Matara,2024,2898.18343,-202.629767,31,1,18,20,57.69142456,0.374727614,Southern
Matara,2025,3363.696583,262.883386,40,6,6,30,99.12636719,0.421932325,Southern
Matara,2026,114.9883366,-2985.824861,1,0,15,4,27.15871277,0.088235294,Southern
Moneragala,2010,2390.180236,327.5021581,41,2,17,39,63.12854614,0.602962974,Uva
Moneragala,2011,2589.79885,527.1207726,46,5,13,32,82.2526062,0.657001517,Uva
Moneragala,2012,2053.203784,-9.474293901,32,6,15,43,104.3716797,0.709104996,Uva
Moneragala,2013,2125.514502,62.83642436,39,3,16,18,71.44859619,0.548876714,Uva
Moneragala,2014,2242.446298,179.7682208,39,3,19,22,78.24747314,0.627299089,Uva
Moneragala,2015,2034.43512,-28.2429578,29,0,18,67,49.26712036,0.559860247,Uva
Moneragala,2016,1384.507282,-678.1707959,21,2,15,20,58.40100708,0.386543107,Uva
Moneragala,2017,2062.777873,0.099795443,37,2,18,22,56.73690796,0.52601448,Uva
