district,state,year,pop_density
UttarPradesh,Kasganj,2005,672.26
UttarPradesh,Kaushambi,2005,1497.81
UttarPradesh,Kushinagar,2005,1147.29
UttarPradesh,LakhimpurKheri,2005,471.72
UttarPradesh,Lalitpur,2005,223.62
UttarPradesh,Lucknow,2005,1696.81
UttarPradesh,Maharajganj,2005,906.85
UttarPradesh,Mahoba,2005,286.74
UttarPradesh,Mainpuri,2005,648.54
UttarPradesh,Mathura,2005,703.68
UttarPradesh,Mau,2005,1122.39
UttarPradesh,Meerut,2005,1273.69
UttarPradesh,Mirzapur,2005,564.86
UttarPradesh,Moradabad,2005,1289.4
UttarPradesh,Muzaffarnagar,2005,1019.88
UttarPradesh,Pilibhit,2005,540.16
UttarPradesh,Pratapgarh,2005,219.08
UttarPradesh,Pratapgarh,2005,850.5
UttarPradesh,RaeBareli,2005,702.21
UttarPradesh,Rampur,2005,908.92
UttarPradesh,Saharanpur,2005,866.11
UttarPradesh,Sambhal,2005,893.06
UttarPradesh,SantKabirNagar,2005,964.47
UttarPradesh,SantRaviDasNagar,2005,1561.21
UttarPradesh,Shahjahanpur,2005,626.63
UttarPradesh,Shamli,2005,875.69
UttarPradesh,Shravasti,2005,644.23
UttarPradesh,SiddharthNagar,2005,855.56
UttarPradesh,Sitapur,2005,716.72
UttarPradesh,Sonbhadra,2005,257.02
UttarPradesh,Sultanpur,2005,857.12
UttarPradesh,Unnao,2005,635.15
UttarPradesh,Varanasi,2005,2398.56
Uttarakhand,Almora,2005,217.75
Uttarakhand,Bageshwar,2005,111.02
Uttarakhand,Chamoli,2005,55.94
Uttarakhand,Chamoli,2005,0
Uttarakhand,Chamoli,2005,8084.63
Uttarakhand,Chamoli,2005,0
Uttarakhand,Champawat,2005,112.81
Uttarakhand,Dehradun,2005,475.69
Uttarakhand,Garhwal,2005,174.38
Uttarakhand,Hardwar,2005,739.58
